service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
RINFRA-801-1_Weekday-30,1,1,1,1,1,0,0,20181017,20181025
RINFRA-801-1_Weekday-31,1,1,1,1,1,0,0,20181018,20181018
RINFRA-801-1_Weekday-91,1,1,1,1,1,0,0,20181019,20181026
RINFRA-801-2_Saturday-90,0,0,0,0,0,1,0,20181020,20181027
RINFRA-801-3_Sunday-13,0,0,0,0,0,0,1,20181021,20181021
RINFRA-801-1_Weekday-32,1,1,1,1,1,0,0,20181022,20181023
RINFRA-801-3_Sunday-90,0,0,0,0,0,0,1,20181028,20181028
RINFRA-801-1_Weekday-90,1,1,1,1,1,0,0,20181029,20181031
RINFRA-804-1_Weekday-48,1,1,1,1,1,0,0,20181017,20181017
RINFRA-804-1_Weekday-32,1,1,1,1,1,0,0,20181018,20181018
RINFRA-804-1_Weekday-57,1,1,1,1,1,0,0,20181019,20181019
RINFRA-804-2_Saturday-90,0,0,0,0,0,1,0,20181020,20181027
RINFRA-804-3_Sunday-90,0,0,0,0,0,0,1,20181021,20181028
RINFRA-804-1_Weekday-90,1,1,1,1,1,0,0,20181022,20181031
RINFRA-804-1_Weekday-91,1,1,1,1,1,0,0,20181026,20181026
RINFRA-803-1_Weekday-47,1,1,1,1,1,0,0,20181017,20181018
RINFRA-803-1_Weekday-48,1,1,1,1,1,0,0,20181019,20181019
RINFRA-803-2_Saturday-12,0,0,0,0,0,1,0,20181020,20181020
RINFRA-803-3_Sunday-90,0,0,0,0,0,0,1,20181021,20181028
RINFRA-803-1_Weekday-90,1,1,1,1,1,0,0,20181022,20181031
RINFRA-803-1_Weekday-91,1,1,1,1,1,0,0,20181026,20181026
RINFRA-803-2_Saturday-90,0,0,0,0,0,1,0,20181027,20181027
RINFRA-802-1_Weekday-15,1,1,1,1,1,0,0,20181017,20181018
RINFRA-802-1_Weekday-59,1,1,1,1,1,0,0,20181019,20181019
RINFRA-802-2_Saturday-31,0,0,0,0,0,1,0,20181020,20181020
RINFRA-802-3_Sunday-90,0,0,0,0,0,0,1,20181021,20181028
RINFRA-802-1_Weekday-90,1,1,1,1,1,0,0,20181022,20181031
RINFRA-802-1_Weekday-91,1,1,1,1,1,0,0,20181026,20181026
RINFRA-802-2_Saturday-90,0,0,0,0,0,1,0,20181027,20181027
