DUMMY DATA (NOT REAL),,,,,,,,,,,,,,
Date:,09/20/18,,,On-Time Trips:,,,,,,,,,,
Scheduled Trips:,,Completed Trips:,,On-Time Window:,1min,,2min,,3min,,4min,,5min,
Blue,650,647,99.54%,,143,22.00%,294,45.23%,389,59.85%,593,91.23%,632,97.23%
Green,483,482,99.79%,,56,11.59%,132,27.33%,243,50.31%,387,80.12%,467,96.69%
Gold,795,790,99.37%,,209,26.29%,367,46.16%,596,74.97%,650,81.76%,769,96.73%
Red,803,801,99.75%,,369,45.95%,502,62.52%,598,74.47%,765,95.27%,781,97.26%
Purple,345,345,100.00%,,34,9.86%,90,26.09%,205,59.42%,297,86.09%,332,96.23%
Expo,862,853,98.96%,,150,17.40%,213,24.71%,437,50.70%,688,79.81%,845,98.03%
Total,3938,3918,99.49%,,961,24.40%,1598,40.58%,2468,62.67%,3380,85.83%,3826,97.16%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Historical:,Last month (08/20 – 09/20),,,,,,,,,,,,,
,,,,On-Time Trips:,,,,,,,,,,
Scheduled Trips:,,Completed Trips:,,On-Time Window:,1min,,2min,,3min,,4min,,5min,
Blue,19500,19020,97.54%,,3930,20.15%,10230,52.46%,13170,67.54%,14400,73.85%,18750,96.15%
Green,14490,14010,96.69%,,1740,12.01%,4380,30.23%,6120,42.24%,9510,65.63%,13440,92.75%
Gold,23850,23460,98.36%,,5130,21.51%,12750,53.46%,16260,68.18%,19290,80.88%,22830,95.72%
Red,24090,23760,98.63%,,9960,41.34%,16260,67.50%,15960,66.25%,21090,87.55%,22230,92.28%
Purple,10350,10140,97.97%,,1110,10.72%,2220,21.45%,5040,48.70%,8280,80.00%,9840,95.07%
Expo,25860,25320,97.91%,,4680,18.10%,7200,27.84%,11010,42.58%,20010,77.38%,24060,93.04%
Total,118140,115710,97.94%,,26550,22.47%,53040,44.90%,67560,57.19%,92580,78.36%,111150,94.08%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Historical:,Last year (09/20/17 – 09/20/18),,,,,,,,,,,,,
,,,,On-Time Trips:,,,,,,,,,,
Scheduled Trips:,,Completed Trips:,,On-Time Window:,1min,,2min,,3min,,4min,,5min,
Blue,237250,236155,99.54%,,51151,21.56%,100871,42.52%,139145,58.65%,194800,82.11%,214532,90.42%
Green,176295,172280,97.72%,,18804,10.67%,43362,24.60%,81599,46.29%,138429,78.52%,165341,93.79%
Gold,290175,279590,96.35%,,74759,25.76%,128596,44.32%,200136,68.97%,234877,80.94%,252616,87.06%
Red,293095,292365,99.75%,,134685,45.95%,175900,60.01%,207356,70.75%,270848,92.41%,256558,87.53%
Purple,125925,121910,96.81%,,11789,9.36%,31207,24.78%,69587,55.26%,99732,79.20%,119968,95.27%
Expo,314630,301855,95.94%,,54750,17.40%,73080,23.23%,143554,45.63%,241075,76.62%,299172,95.09%
Total,1437370,1404155,97.69%,,345938,24.07%,553016,38.47%,841377,58.54%,1179761,82.08%,1308187,91.01%
